
################ DICensus t+45s ################
objects walked: 158743   game-owned instances: 26323
    12  BP_SR_VaultRcsdGenLight_C
   102  BP_SR_VaultTunnel_WalkwayGens_C
     8  BP_SecurityCamera_C
     1  BP_SecurityCamera_Proto_C
    42  BP_Sink_Interactable_C
    14  BP_Small_Object_Spawn_C
     3  BP_SocialInteract_VIPCatwalk_C
     6  BP_SoftCurrencyPurse_Pickable_C
    32  BP_SpawnpointCamera_C
     1  BP_Spy_SpyPack_C
    10  BP_TechObservation_Interactable_C
     7  BP_TerminalSpawnpoint_C
     1  BP_UltraGuardWeapon_C
     1  BP_VFX_Extraction_ObjectiveCarrierPing_C
     1  BP_VFX_NPCMeshOverlay_CoverScan_C
     1  BP_VaultDoorBase_C
     5  BP_VaultDoorSr_C
     5  BP_VaultDoor_Override_IntelPool_C
     7  BP_VaultFeedback_Light_C
     1  BP_VaultOverridePrototype_C
     6  BP_VaultTerminal_Spawnpoint_C
     4  BP_VaultUnlockTerminal_C
     2  BP_VaultZone_C
     1  BP_VictimEffect_ObjectiveCarrierPing_C
     1  BP_VictimEffect_ObjectiveEnemyPing_C
     1  BP_VictimEffect_Status_CameraDrain_C
     1  BP_VictimEffect_Status_VaultZone_Broadcast_C
     1  BP_VictimEffect_Status_VaultZone_Drain_C
     1  BP_VictimEffect_Status_VaultZone_Exposed_C
     1  BP_VictimEffect_Vulnerable_RogueAgent_C
    95  BP_Wall_Spawn_C
     2  BP_WrapCameraMenuActor_C
     1  BaseDoorActor
     1  BaseGamePhaseInfo
     1  BaseInteractableActor
     1  BasePlaceableSpyTool
     1  BasePowerupActor
     1  BasePowerupChestActor
     1  BaseSpyActiveAbility
     1  BaseSpyPassiveAbility
     1  BaseSpyTool
     1  BaseSpyWeapon
     1  BotActionInteract
     1  BotObjective
     9  BotObjectiveBriefcaseInVault
     4  BotObjectiveCallExtraction
     2  BotObjectiveExtract
     8  BotObjectiveGetBriefcase
    10  BotObjectiveKillCarrier
     9  BotObjectiveOpenVault
     9  BotObjectivePickUpBriefcase
    10  BotObjectivePrintKeycard
     1  BotObjectiveRequirement
     9  BotObjectiveRequirementBriefcaseCarried
     3  BotObjectiveRequirementExtractionCalled
    17  BotObjectiveRequirementGamePhase
     7  BotObjectiveRequirementHasBriefcase
    10  BotObjectiveRequirementResource
     1  BotSpawner
     2  Bp_Objective_Terminal_C
    38  CameraActor
     1  CameraAnim
     9  CameraAnimInst
     1  CameraAnimationSequence
     1  CameraBlockingVolume
    68  CameraComponent
     1  CameraModifier
     2  CameraModifier_CameraShake
     1  CameraRig_Crane
     1  CameraRig_Rail
     1  CameraShakeBase
     1  CameraShakePattern
     1  CameraShakeSourceActor
     2  CameraShakeSourceComponent
     2  CameraSubsystemPropertiesDAsset
     2  CavActiveInteracterComponent
     1  CavaliereActiveAbility
     1  CavaliereActiveAbilityMod2
     1  CavalierePassiveAbility
     1  CavalierePassiveAbilityMod1
     1  CavalierePassiveAbilityMod2
     3  ChangePhaseComponent
     1  ChaosClothingInteractor
     1  ChaosClothingSimulationInteractor
     1  ChargeLevelsWeaponComponent
     1  ChargeSpawnerWeapon
     1  ChavezActiveAbility
     1  ChavezActiveAbilityMod1
     1  ChavezActiveAbilityMod2
     1  ChavezActiveAbilityMod2_1
     1  ChavezPassiveAbility
     1  ChavezPassiveAbilityMod1
     1  ChavezPassiveAbilityMod2
    18  CineCameraActor
    19  CineCameraComponent
     1  ClothingInteractor
     1  ClothingSimulationInteractor
   190  ClothingSimulationInteractorNv
     1  CompositeCameraShakePattern
     1  ConstantCameraShakePattern
     1  CrowdAgentInterface
    73  DIActiveAbilityItem
     3  DIAgentBundleItem
    29  DIAgentItem
  1545  DIAgentSkinItem
     2  DIAllowedGameModesHandler
     1  DIAnimationBlueprintLibrary
     2  DIAssetManager
  1646  DIAsyncLoadWrapper
     2  DIAutomatedBotManager
   275  DIAvatarItem
     2  DIBalancingData
     2  DIBalancingManagerSubsytem
   177  DIBundleItem
   173  DICCItem
     1  DICameraLense
     2  DICameraSubsystem
    11  DICatalogueItem
     1  DICharacterMovementComponent
     1  DIClientSession
     2  DIClientWebServiceSession
     3  DIConsumableItem
     7  DICurrencyItem
     4  DICurrencyType
     1  DICustomGameUserWidget
     1  DIDataStoreBlueprintLibrary
     1  DIDedicatedServerManager
     1  DIDemoNetDriver
     1  DIEndScreenMenuUserWidget
     2  DIFactionsManager
     1  DIFreeSpectator
     1  DIFreecamSettingsMenuUserWidget
    29  DIGadgetItem
     1  DIGameInstanceBase
     2  DIGameRulesSubsystem
     1  DIGameServerSession
     2  DIGameServerWebServiceSession
     1  DIInteractWidgetSubsystem
   351  DIIntroPoseItem
     1  DIItem
     2  DIKillcamPlaybackManager
     2  DILoadSubsystem
     1  DILoadingScreenWidget
     2  DILoadingSystemDataAsset
     1  DILocalPlayer
     1  DILootItem
     1  DIMainMenuUserWidget
     2  DIMapList
     1  DIMatchesSubsystem
     1  DIMatchmakingRequestHandler
     1  DIMatchmakingTokenHandler
     1  DIMenuKeybindingsWidget
     1  DIMenuStoreShowcaseWidget
     2  DIMenuSubsystem
     1  DIMenuUserWidget
     2  DINavigationSystem
     2  DIObjectSpawnPresetsDataAsset
     2  DIObjectsToSpawnCountDataAsset
     2  DIObjectsToSpawnDataAsset
     1  DIOnlineFriendInfo
     2  DIOnlineFriendPresence
     1  DIOnlinePartyInvite
     2  DIOnlinePartyMemberInfo
     2  DIPartySubsystem
    75  DIPassiveAbilityItem
     1  DIPingWidget
     2  DIPlayerSettingsDataAsset
     1  DIPlayerStart
     2  DIPlayerState
     2  DIPopulationManagerNPCSuspiciousnessDataAsset
     3  DIPopulationManagerNpcSpawnDataAsset
     3  DIPopulationManagerRoomWeightDataAsset
     1  DIPopupAnnouncementUserWidget
     1  DIPopupUserWidget
     1  DIPosessionResolver
     1  DIPrimaryDataAsset
     1  DIPrivateLobbyMenuUserWidget
     1  DIProgressionItem
     2  DIRegionDetectorSubsystem
     1  DIResultScreenMenuUserWidget
     1  DISaveGame
     2  DISaveGameSubsystem
     1  DISelectFactionEntryWidget
     1  DISelectFactionWidget
     1  DISelectTeamPopupWidget
     1  DISelectTeamWidget
     1  DIServerBrowserFilterWidget
     1  DIServerBrowserHeaderWidget
     1  DIServerBrowserMenuWidget
     1  DIServerInfoObject
     1  DIServerInfoRowWidget
     1  DIServerListWidget
     1  DIServerPasswordPopupWidget
     2  DISessionInventory
     2  DISessionLoot
     2  DISessionProgression
     2  DISessionSelections
     2  DISessionStats
     2  DISessionSubsystem
     1  DISettingsMenuUserWidget
     2  DISocialSubsystem
     1  DISpectatorPawn
     3  DIStoreDataAsset
     1  DIStoreMenuPageUserWidget
     2  DIStoreSubsystem
   291  DITitleItem
     1  DIUserWidget
   301  DIVoucherItem
    73  DIWeaponItem
   143  DIWidgetComponent
     2  DIWorldAsyncLoadCache
   557  DIWrapItem
     2  DIXpEventDataAsset
     1  DamageAoEActor
     1  DamageDealerInterface
     2  DamageModifier
  1296  DamageModifiers
     1  DamageNumber
     1  DamageOutputModifierInterface
     1  DamageType
     1  DatasmithCineCameraActorTemplate
     1  DatasmithCineCameraComponentTemplate
     1  DeadNPCInteraction
     1  DebugCameraController
     1  DebugCameraControllerSettings
     1  DebugCameraHUD
     1  DeceiveIncBotController
     1  DeceiveIncCheatManager
     1  DeceiveIncControllerInterface
     1  DeceiveIncDedicatedStartupGameState
     2  DeceiveIncEngine
     1  DeceiveIncGameModeBase
     1  DeceiveIncGameRulesSettings
     2  DeceiveIncGameSession
     1  DeceiveIncGameStateBase
     1  DeceiveIncMainGameState
     1  DeceiveIncMatchGameState
     1  DeceiveIncMenuGameModeBase
     1  DeceiveIncPlayerBotController
     1  DeceiveIncPlayerController
     1  DeceiveIncPlayerVoiceChat
     1  DeceiveIncPreGameState
     1  DeceiveIncPrivateLobbyGameMode
     1  DeceiveIncSettings
     1  DefaultCameraShakeBase
     4  DiSpy3PMovementSet
     1  DiSpyAnimInstance1P
     1  DiSpyAnimInstance3P
     2  DiSpyAnimationMotionSet
     1  DirectionalDamageIndicatorWidget
   387  DisguiseAsNPCConditionComponent
   108  DoorClosedConditionComponent
     1  DroneSpawnerWeapon
     1  EditableGameplayTagQueryExpression_AllExprMatch
     1  EditableGameplayTagQueryExpression_AllTagsMatch
     1  EditableGameplayTagQueryExpression_AnyExprMatch
     1  EditableGameplayTagQueryExpression_AnyTagsMatch
     1  EditableGameplayTagQueryExpression_NoExprMatch
     1  EditableGameplayTagQueryExpression_NoTagsMatch
     1  EmitterCameraLensEffectBase
     1  EndMatchCallbackProxy
     1  ExtractionArrivedPhaseInfo
     1  ExtractionArrivingPhaseInfo
     1  ExtractionInteractableActor
     4  FallDamageComponent
     1  FindTurnBasedMatchCallbackProxy
    13  GadgetData
     1  GadgetInterface
     1  GameMode
     1  GameModeBase
    25  GamePhaseConditionComponent
     1  GameState
     1  GameStateBase
     1  GameplayTask_SpawnActor
  1351  GenericNPCInteraction
     1  GenericTeamAgentInterface
     2  HUD_AnnouncementPhaseChange_C
     2  HUD_ChangeAgentTAB_C
     2  HUD_CurrentObjectiveTip_C
     2  HUD_CurrentObjective_C
     2  HUD_DamageFeedback_C
     1  HUD_DirectionalDamageIndicator_C
     2  HUD_InteractTooltip_C
     1  HUD_Interact_ScanMimicable_C
     1  HUD_Interact_ScanTrappable_C
     3  HUD_Interactable_C
     2  HUD_LoadoutButtonWPN_C
     3  HUD_LoadoutButton_C
     2  HUD_Loadout_Master_C
     1  HUD_NavMode_HealthCharge_C
     1  HUD_NavMode_Health_C
     1  HUD_NavMode_Objective_C
     1  HUD_NavMode_VaultDoor_C
     1  HUD_NavMode_VaultLocation_Unknown_C
     1  HUD_PP_Vault_C
     2  HUD_PlayerHealth_C
     2  HUD_PlayerObjective_C
     2  HUD_SE_ObjectivePing_TImer_C
     2  HUD_VaultCounter_C
     1  HUD_VaultPrinterScreen_C
     1  HUD_VaultTimer_C
     1  HansActiveAbility
     1  HansActiveAbilityMod1
     1  HansActiveAbilityMod2
     1  HansPassiveAbility
     1  HansPassiveAbilityMod1
     1  HansPassiveAbilityMod2
  1446  HealthComponent
     1  HealthConditionComponent
     1  HealthSnapshotBlueprintLibrary
     1  HitscanWeapon
     1  HoudiniInputCameraComponent
     1  ImpulseWeaponComponent
     1  InteractableActorInterface
  3081  InteractableComponent
     5  InteracterComponent
    11  InteractionAuthorityComponent
    10  InteractionIconComponent
     1  InteractionIconWidget
     1  InteractionMechanic
     1  InteractiveFoliageActor
     2  InteractiveFoliageComponent
     1  InteractiveGizmo
     1  InteractiveGizmoBuilder
     1  InteractiveGizmoManager
     1  InteractiveTool
     1  InteractiveToolBuilder
     1  InteractiveToolManager
     1  InteractiveToolPropertySet
     1  InteractiveToolsContext
     1  InterpGroupCamera
     1  InterpGroupInstCamera
     1  IntroPhaseInfo
     1  LarcinActiveAbility
     1  LarcinActiveMod1Ability
     1  LarcinPassiveAbility
     1  LarcinPassiveMod1Ability
     1  LarcinPassiveMod1_2Ability
     4  LimitedEventXpProgressionData
     2  LocalSpyEventBus
     2  LootRewardPoolDataAsset
    11  MapData
     1  Matchmaker
     2  MatchmakerImpl
     1  MaterialExpressionCameraPositionWS
     1  MaterialExpressionCameraVectorWS
     1  MaterialExpressionMapARPassthroughCameraUV
     1  MatineeActorCameraAnim
     1  MatineeCameraShake
     1  MatineeCameraShakeFunctionLibrary
     2  MatineeCameraShakePattern
     1  MaxHealthConditionComponent
     1  MeleeWeapon
     1  MovieSceneCameraAnimSection
     1  MovieSceneCameraAnimTrack
     3  MovieSceneCameraCutSection
     3  MovieSceneCameraCutTrack
     1  MovieSceneCameraCutTrackInstance
     1  MovieSceneCameraShakeEvaluator
     1  MovieSceneCameraShakeSection
     1  MovieSceneCameraShakeSourceShakeSection
     1  MovieSceneCameraShakeSourceShakeTrack
     1  MovieSceneCameraShakeSourceTriggerSection
     1  MovieSceneCameraShakeSourceTriggerTrack
     1  MovieSceneCameraShakeTrack
     1  MovieSceneMatineeCameraShakeEvaluator
    11  MovieSceneNiagaraSystemSpawnSection
     1  MovieScenePostSpawnEventSystem
     1  MovieScenePreSpawnEventSystem
    21  MovieSceneSpawnSection
    21  MovieSceneSpawnTrack
     2  MovieSceneSpawnablesSystem
     1  NPCAIActor
     1  NPCAdditionalComponent
     1  NPCBehavior
   320  NPCBehaviorControlled
   320  NPCBehaviorDefault
    64  NPCBehaviorFollow
   320  NPCBehaviorInteract
    64  NPCBehaviorInvestigate
   320  NPCBehaviorScared
   178  NPCBehaviorScold
     1  NPCBug
     1  NPCBugSpawnerWeapon
     1  NPCCharacter
   200  NPCContainerInteraction
    10  NPCConversationComponent
     9  NPCConversationInteraction
    67  NPCGuardComponent
     1  NPCInteraction
  1456  NPCInteractionComponent
   387  NPCMotionSetComponent
   387  NPCMovementComponent
     1  NavAgentInterface
     1  NavAreaMeta_SwitchByAgent
     1  NiagaraDataInterfaceCamera
     1  NiagaraEventReceiverEmitterAction_SpawnParticles
     1  ObjectSpawn
   304  ObjectSpawnComponent
     1  ObjectSpawnInterface
     1  ObjectSpawningManager
     1  ObjectiveCarrierVictimEffect
     2  ObjectiveProximityData
     2  ObjectiveProximitySubsystem
     1  OctoActiveAbility
     1  OctoActiveAbilityMod1
     1  OctoActiveAbilityMod2
     1  OctoBaseActiveAbility
     1  OctoDrainingActiveAbility
     1  OctoPassiveAbility
     1  OctoPassiveAbilityLuckBased
     1  OctoPassiveAbilityMod1
     1  OctoPassiveAbilityMod2
     1  ParticleModuleCameraBase
     1  ParticleModuleCameraOffset
     1  ParticleModuleEventReceiverSpawn
     1  ParticleModuleSpawn
     1  ParticleModuleSpawnBase
     1  ParticleModuleSpawnPerUnit
     1  PathFollowingAgentInterface
     2  PerlinNoiseCameraShakePattern
     2  PlayableAgentList
     2  PlayerCameraManager
     1  PopulationManager
     1  PosingSpy
    17  PosingSpyActorContainer
     1  PosingSpyAnimInstance
     1  PosingSpy_Lightrig_Blueprint_C
     2  PowerupData
    11  PowerupManagerComponent
     2  PregameLobbyMapData
     2  PregameLobbyPhaseInfo
     1  ProceduralFoliageSpawner
     6  ProgressionRewardData
     1  ProjectileSpawnedActorInterface
     1  ProjectileWeapon
     1  QuitMatchCallbackProxy
     3  RangeInteracterComponent
     1  ResultScreenPhaseInfo
     4  ReviveSpyConditionComponent
     2  RewardBundleDataAsset
     1  RoomNavArea_Guard
     2  SM_GunShelf_Door_A_01_Shortcut_C
     1  SasoriActiveAbility
     1  SasoriActiveAbilityMod1
     1  SasoriActiveAbilityMod2
     1  SasoriBaseActiveAbility
     1  SasoriPassiveAbility
     1  SasoriPassiveAbilityMod1
     1  SasoriPassiveAbilityMod2
     2  SequenceCameraShakeCameraStandIn
     1  SequenceCameraShakePattern
     2  SequenceCameraShakeSequencePlayer
     1  SessionAgentSelectionInfo
     1  ShieldbrellaSpawnerWeapon
     1  SimpleCameraShakePattern
  1376  SocialInteractConditionComponent
     1  SocialiteActiveAbility
     1  SocialiteActiveAbilityMod1
     1  SocialiteActiveAbilityMod2
     1  SocialitePassiveAbility
     1  SocialitePassiveAbilityMod1
     1  SocialitePassiveAbilityMod2
     1  SourceEffectPhaserPreset
     1  SpawnableObjectInterface
     1  SpawnerWeapon
     1  SpawnerWeaponInterface
     1  SpawnerWeaponRound
     1  SpawnerWeaponRound_Beam
     1  SpawnerWeaponRound_Charge
     1  SpawnerWeaponRound_Projectile
     1  SpawnerWeaponRound_Shield
     1  SprayChargeSpawnerWeapon
     1  SprayWeapon
     1  Spy
     1  Spy3DPortrait
     1  SpyCache
     1  SpyCheatsComponent
     9  SpyGameModeMapData
     1  SpyGamePhaseInfo
     1  SpyGlassTool
     1  SpyPack
     1  SpyPing
     1  SpyWeaponInterface
     1  SquireActiveAbility
     1  SquireActiveAbilityMod2
     1  SquirePassiveAbility
     1  SquirePassiveAbilityMod1
     1  SquirePassiveAbilityMod2
     1  TestCameraShake
     1  ThrowableWeapon
     3  ToolLoadoutComponent
     1  Tripwire
     2  TripwireDedicatedServerManager
     1  TripwireServerSettings
     1  TripwireTool
     1  TurnBasedMatchInterface
     1  TwMatchDataAggregator
     6  VaultDoorOverrideCondition
     1  VaultLockedPhaseInfo
     1  VaultUnlockedPhaseInfo
     1  VictimEffectTickBehavior_Damage
     1  VictimEffectTickBehavior_InstantDamage
     1  VigilActiveAbility
     1  VigilPassiveAbilityDeviceBased
     1  WaveOscillatorCameraShakePattern
     1  WeaponOverheatComponent
     1  WeaponSprayDataAsset
     1  WidgetInteractionComponent
     1  XiuActiveAbility
     1  XiuPassiveAbility
     1  XiuPassiveAbilityMod1
     1  XiuPassiveAbilityMod2
     4  XpProgressionData
     1  YumiActiveAbility
     1  YumiPassiveAbility
     1  YumiPassiveAbilityMod1
     1  YumiPassiveAbilityMod2

---- scalar properties per class ('<==' = looks tunable) ----

=== AISense_Damage   x1
      DefaultExpirationAge = 3.4028234663853e+38

=== AOEWeaponComponent   x1
  <== AOEDamage = 10.0

=== ARSharedWorldGameMode   x1
  <== BufferSizePerChunk = 512

=== ARTextureCameraDepth   x1
      DepthQuality = 0
      TextureType = 2
  <== ForceMipLevelsToBeResidentTimestamp = 0.0

=== ARTextureCameraImage   x1
      TextureType = 1
  <== ForceMipLevelsToBeResidentTimestamp = 0.0

=== AYumiPassiveAbilityMod1_2   x1
  <== PercentRefunded = 10.0

=== AceTrailActiveAbility   x1
      TrailVFXLookAheadDist = 100.0

=== ActiveAbilityConditionComponent   x2461
  <== bCanInteractWhenInMimic = true
      Restrictions = 0

=== AgentData   x14
      Difficulty = 0

=== AnimNotify_GuardSetWeaponVisibility_C   x5
      Visibility = false

=== AnimNotify_SpyDespawnProp_C   x3
      FirstPerson = true

=== BPWeapon_HitscanBase_C   x1
  <== EffectiveRange = 10000.0

=== BPWeapon_Squire_C   x2
  <== EffectiveRange = 10000.0

=== BP_BaseDoorActor_C   x1
      bAppearAsLocallyUnlocked = false

=== BP_CameraLense_C   x2
      AutoActivateForPlayer = 0

=== BP_Container_OrangeCardSpawnerHS_C   x1
  <== bAllowNPCInteraction = true

=== BP_Container_PurpleCardSpawnerHS_C   x3
  <== bAllowNPCInteraction = true

=== BP_Container_PurpleCardSpawnerSE_C   x1
  <== bAllowNPCInteraction = true

=== BP_DamageModifier_DisguiseShield_Disguise_C   x2
  <== Multipliers = 1.0

=== BP_DamageModifier_DisguiseShield_Spy_C   x2
  <== Multipliers = 1.0

=== BP_DamageType_Fall_C   x1
      bCausedByWorld = true

=== BP_DeceiveIncBotController_C   x1
      bStartAILogicOnPossess = false

=== BP_DoorDiamondSpire_Emergency_C   x3
      bAppearAsLocallyUnlocked = false

=== BP_DoorLab_Blue_C   x1
      bAppearAsLocallyUnlocked = false

=== BP_DoorLab_C   x1
      bAppearAsLocallyUnlocked = false

=== BP_DoorLab_Green_C   x1
      bAppearAsLocallyUnlocked = false

=== BP_DoorLab_Orange_C   x1
      bAppearAsLocallyUnlocked = false

=== BP_DoorLab_Purple_C   x1
      bAppearAsLocallyUnlocked = false

=== BP_DoorManor_C   x1
      bAppearAsLocallyUnlocked = false

=== BP_DoorSR_Blue_C   x15
      bAppearAsLocallyUnlocked = false

=== BP_DoorSR_C   x18
      bAppearAsLocallyUnlocked = false

=== BP_DoorSR_Green_C   x9
      bAppearAsLocallyUnlocked = false

=== BP_DoorSR_Purple_C   x6
      bAppearAsLocallyUnlocked = false

=== BP_Door_Starfish_Blue_C   x5
      bAppearAsLocallyUnlocked = false

=== BP_Door_Starfish_Orange_C   x4
      bAppearAsLocallyUnlocked = false

=== BP_Door_Starfish_Purple_C   x8
      bAppearAsLocallyUnlocked = false

=== BP_EliteGuardWeapon_C   x14
  <== EffectiveRange = 10000.0

=== BP_GuardWeapon_C   x41
  <== EffectiveRange = 10000.0

=== BP_ObjectSpawningManager_C   x2
  <== FillingObjectsMaxWeightFactor = 45.0

=== BP_SRDoorBathroom_C   x31
      bAppearAsLocallyUnlocked = false

=== BP_Spy_SpyPack_C   x1
  <== HealthCount = 25

=== BP_UltraGuardWeapon_C   x1
  <== EffectiveRange = 10000.0

=== BP_VaultDoorBase_C   x1
      bShouldDoAnimNotifies = true

=== BP_VaultDoorSr_C   x5
      bShouldDoAnimNotifies = true

=== BP_VictimEffect_ObjectiveCarrierPing_C   x1
  <== PostPingCooldown = 1.0
      EffectPositioningRule = 0

=== BP_VictimEffect_ObjectiveEnemyPing_C   x1
      EffectPositioningRule = 2

=== BP_VictimEffect_Status_CameraDrain_C   x1
      EffectPositioningRule = 2

=== BP_VictimEffect_Status_VaultZone_Broadcast_C   x1
      EffectPositioningRule = 2

=== BP_VictimEffect_Status_VaultZone_Drain_C   x1
      EffectPositioningRule = 2

=== BP_VictimEffect_Status_VaultZone_Exposed_C   x1
      EffectPositioningRule = 2

=== BP_VictimEffect_Vulnerable_RogueAgent_C   x1
      EffectPositioningRule = 2

=== BP_WrapCameraMenuActor_C   x2
      AutoActivateForPlayer = 0

=== BaseDoorActor   x1
      bAppearAsLocallyUnlocked = false

=== BotSpawner   x1
